"Age","l.x.","Country","Year","Sex"
0,1,"BEL",2012,2
1,0.996852,"BEL",2012,2
5,0.996163,"BEL",2012,2
10,0.995651,"BEL",2012,2
15,0.995201,"BEL",2012,2
20,0.994213,"BEL",2012,2
25,0.993015,"BEL",2012,2
30,0.991848,"BEL",2012,2
35,0.989895,"BEL",2012,2
40,0.98691,"BEL",2012,2
45,0.982061,"BEL",2012,2
50,0.973992,"BEL",2012,2
55,0.959608,"BEL",2012,2
60,0.938404,"BEL",2012,2
65,0.909172,"BEL",2012,2
70,0.867202,"BEL",2012,2
75,0.803086,"BEL",2012,2
80,0.705888,"BEL",2012,2
85,0.54118,"BEL",2012,2
90,0.311599,"BEL",2012,2
95,0.108872,"BEL",2012,2
100,0.019142,"BEL",2012,2
105,0.001626,"BEL",2012,2
0,1,"BEL",2013,1
1,0.99615,"BEL",2013,1
5,0.99521,"BEL",2013,1
10,0.99473,"BEL",2013,1
15,0.99425,"BEL",2013,1
20,0.99259,"BEL",2013,1
25,0.98945,"BEL",2013,1
30,0.98567,"BEL",2013,1
35,0.98182,"BEL",2013,1
40,0.97637,"BEL",2013,1
45,0.96811,"BEL",2013,1
50,0.95553,"BEL",2013,1
55,0.93458,"BEL",2013,1
60,0.90044,"BEL",2013,1
65,0.84899,"BEL",2013,1
70,0.77651,"BEL",2013,1
75,0.67498,"BEL",2013,1
80,0.53758,"BEL",2013,1
85,0.36014,"BEL",2013,1
90,0.16857,"BEL",2013,1
95,0.04633,"BEL",2013,1
100,0.00528,"BEL",2013,1
105,0.00028,"BEL",2013,1
0,1,"BEL",2013,2
1,0.99694,"BEL",2013,2
5,0.9962,"BEL",2013,2
10,0.99579,"BEL",2013,2
15,0.99549,"BEL",2013,2
20,0.99455,"BEL",2013,2
25,0.99344,"BEL",2013,2
30,0.99186,"BEL",2013,2
35,0.99015,"BEL",2013,2
40,0.98655,"BEL",2013,2
45,0.98158,"BEL",2013,2
50,0.97324,"BEL",2013,2
55,0.95969,"BEL",2013,2
60,0.93827,"BEL",2013,2
65,0.90873,"BEL",2013,2
70,0.86642,"BEL",2013,2
75,0.80409,"BEL",2013,2
80,0.70674,"BEL",2013,2
85,0.5449,"BEL",2013,2
90,0.31708,"BEL",2013,2
95,0.11473,"BEL",2013,2
100,0.02103,"BEL",2013,2
105,0.00172,"BEL",2013,2
0,1,"BEL",2014,1
1,0.99617,"BEL",2014,1
5,0.99538,"BEL",2014,1
10,0.995,"BEL",2014,1
15,0.99436,"BEL",2014,1
20,0.99239,"BEL",2014,1
25,0.9892,"BEL",2014,1
30,0.98592,"BEL",2014,1
35,0.98162,"BEL",2014,1
40,0.97669,"BEL",2014,1
45,0.96898,"BEL",2014,1
50,0.957,"BEL",2014,1
55,0.93727,"BEL",2014,1
60,0.90338,"BEL",2014,1
65,0.85557,"BEL",2014,1
70,0.78449,"BEL",2014,1
75,0.68923,"BEL",2014,1
80,0.5605,"BEL",2014,1
85,0.38599,"BEL",2014,1
90,0.19361,"BEL",2014,1
95,0.06021,"BEL",2014,1
100,0.01025,"BEL",2014,1
105,0.00088,"BEL",2014,1
0,1,"BEL",2014,2
1,0.99711,"BEL",2014,2
5,0.99652,"BEL",2014,2
10,0.99622,"BEL",2014,2
15,0.9958,"BEL",2014,2
20,0.99497,"BEL",2014,2
25,0.99402,"BEL",2014,2
30,0.9927,"BEL",2014,2
35,0.99099,"BEL",2014,2
40,0.98785,"BEL",2014,2
45,0.98256,"BEL",2014,2
50,0.97461,"BEL",2014,2
55,0.96177,"BEL",2014,2
60,0.9428,"BEL",2014,2
65,0.91445,"BEL",2014,2
70,0.87308,"BEL",2014,2
75,0.81292,"BEL",2014,2
80,0.72003,"BEL",2014,2
85,0.56604,"BEL",2014,2
90,0.34472,"BEL",2014,2
95,0.13568,"BEL",2014,2
100,0.02564,"BEL",2014,2
105,0.00215,"BEL",2014,2
0,1,"BEL",2015,1
1,0.9964,"BEL",2015,1
5,0.99576,"BEL",2015,1
10,0.99531,"BEL",2015,1
15,0.99486,"BEL",2015,1
20,0.99342,"BEL",2015,1
25,0.99028,"BEL",2015,1
30,0.98725,"BEL",2015,1
35,0.98326,"BEL",2015,1
40,0.9779,"BEL",2015,1
45,0.97031,"BEL",2015,1
50,0.95826,"BEL",2015,1
55,0.93902,"BEL",2015,1
60,0.90569,"BEL",2015,1
65,0.85565,"BEL",2015,1
70,0.78575,"BEL",2015,1
75,0.68961,"BEL",2015,1
80,0.55595,"BEL",2015,1
85,0.38046,"BEL",2015,1
90,0.18787,"BEL",2015,1
95,0.05304,"BEL",2015,1
100,0.00675,"BEL",2015,1
105,0.00036,"BEL",2015,1
0,1,"BEL",2015,2
1,0.99708,"BEL",2015,2
5,0.99638,"BEL",2015,2
10,0.99597,"BEL",2015,2
15,0.99547,"BEL",2015,2
20,0.99466,"BEL",2015,2
25,0.99353,"BEL",2015,2
30,0.99226,"BEL",2015,2
35,0.99027,"BEL",2015,2
40,0.98748,"BEL",2015,2
45,0.98268,"BEL",2015,2
50,0.9745,"BEL",2015,2
55,0.96216,"BEL",2015,2
60,0.94171,"BEL",2015,2
65,0.91049,"BEL",2015,2
70,0.86972,"BEL",2015,2
75,0.80769,"BEL",2015,2
80,0.71159,"BEL",2015,2
85,0.55335,"BEL",2015,2
90,0.32847,"BEL",2015,2
95,0.11709,"BEL",2015,2
100,0.01958,"BEL",2015,2
105,0.0011,"BEL",2015,2
0,1,"BEL",2016,1
1,0.99607,"BEL",2016,1
5,0.9956,"BEL",2016,1
10,0.995,"BEL",2016,1
15,0.99454,"BEL",2016,1
20,0.99304,"BEL",2016,1
25,0.99018,"BEL",2016,1
30,0.98686,"BEL",2016,1
35,0.98265,"BEL",2016,1
40,0.97741,"BEL",2016,1
45,0.96936,"BEL",2016,1
50,0.95789,"BEL",2016,1
55,0.93929,"BEL",2016,1
60,0.90873,"BEL",2016,1
65,0.85988,"BEL",2016,1
70,0.79016,"BEL",2016,1
75,0.69535,"BEL",2016,1
80,0.56331,"BEL",2016,1
85,0.39135,"BEL",2016,1
90,0.1991,"BEL",2016,1
95,0.05973,"BEL",2016,1
100,0.00836,"BEL",2016,1
105,0.00041,"BEL",2016,1
